27.088 ,42.825 ,0.0 ,,,,
28.882 ,42.387 ,0.0 ,,,,
32.500 ,40.588 ,0.0 ,,,,
35.607 ,37.728 ,0.0 ,,,,
37.990 ,34.000 ,0.0 ,,,,
39.489 ,29.659 ,0.0 ,,,,
40.000 ,25.000 ,0.0 ,,,,
39.489 ,20.341 ,0.0 ,,,,
37.990 ,16.000 ,0.0 ,,,,
35.607 ,12.272 ,0.0 ,,,,
32.500 ,9.412 ,0.0 ,,,,
28.882 ,7.613 ,0.0 ,,,,
25.000 ,7.000 ,0.0 ,,,,
21.881 ,7.393 ,0.0 ,,,,
21.118 ,7.613 ,0.0 ,,,,
17.500 ,9.412 ,0.0 ,,,,
14.393 ,12.272 ,0.0 ,,,,
12.010 ,16.000 ,0.0 ,,,,
10.511 ,20.341 ,0.0 ,,,,
10.000 ,25.000 ,0.0 ,,,,
10.511 ,29.659 ,0.0 ,,,,
12.010 ,34.000 ,0.0 ,,,,
14.393 ,37.728 ,0.0 ,,,,
17.500 ,40.588 ,0.0 ,,,,
19.381 ,41.689 ,0.0 ,,,,
21.118 ,42.387 ,0.0 ,,,,
25.000 ,43.000 ,0.0 ,,,,
25.000 ,43.000 ,-5.0 ,,,,
10.0 ,7.0 ,-5.0 ,19 ,15 ,,
10.0 ,7.0 ,0.0 ,,,,
10.0 ,43.0 ,0.0 ,,,,
14.0 ,43.0 ,0.0 ,,,,
18.0 ,42.6 ,0.0 ,,,,
22.0 ,41.6 ,0.0 ,,,,
26.0 ,39.8 ,0.0 ,,,,
30.0 ,36.8 ,0.0 ,,,,
33.0 ,33.0 ,0.0 ,,,,
34.5 ,29.5 ,0.0 ,,,,
34.0 ,26.5 ,0.0 ,,,,
31.5 ,24.2 ,0.0 ,,,,
28.0 ,22.8 ,0.0 ,,,,
24.0 ,22.2 ,0.0 ,,,,
20.0 ,22.2 ,0.0 ,,,,
16.0 ,22.4 ,0.0 ,,,,
12.0 ,22.8 ,0.0 ,,,,
10.0 ,23.0 ,0.0 ,,,,
10.0 ,23.0 ,-5.0 ,,,,
25.0 ,43.0 ,-5.0 ,36 ,16 ,,
25.0 ,43.0 ,0.0 ,,,,
27.1 ,42.8 ,0.0 ,,,,
28.9 ,42.4 ,0.0 ,,,,
32.5 ,40.6 ,0.0 ,,,,
35.6 ,37.7 ,0.0 ,,,,
38.0 ,34.0 ,0.0 ,,,,
39.5 ,29.7 ,0.0 ,,,,
40.0 ,25.0 ,0.0 ,,,,
39.5 ,20.3 ,0.0 ,,,,
38.0 ,16.0 ,0.0 ,,,,
35.6 ,12.3 ,0.0 ,,,,
32.5 ,9.4 ,0.0 ,,,,
28.9 ,7.6 ,0.0 ,,,,
25.0 ,7.0 ,0.0 ,,,,
21.9 ,7.4 ,0.0 ,,,,
21.1 ,7.6 ,0.0 ,,,,
17.5 ,9.4 ,0.0 ,,,,
14.4 ,12.3 ,0.0 ,,,,
12.0 ,16.0 ,0.0 ,,,,
10.5 ,20.3 ,0.0 ,,,,
10.0 ,25.0 ,0.0 ,,,,
10.5 ,29.7 ,0.0 ,,,,
12.0 ,34.0 ,0.0 ,,,,
14.4 ,37.7 ,0.0 ,,,,
17.5 ,40.6 ,0.0 ,,,,
19.4 ,41.7 ,0.0 ,,,,
21.1 ,42.4 ,0.0 ,,,,
25.0 ,43.0 ,0.0 ,,,,
25.0 ,43.0 ,-5.0 ,,,,
31.0 ,16.0 ,-5.0 ,,,,
31.0 ,16.0 ,0.0 ,,,,
33.5 ,13.5 ,0.0 ,,,,
36.0 ,10.5 ,0.0 ,,,,
38.0 ,8.5 ,0.0 ,,,,
38.5 ,9.0 ,-5.0 ,,,,
10.0 ,7.0 ,-5.0 ,24 ,17 ,,
10.0 ,7.0 ,0.0 ,,,,
10.0 ,43.0 ,0.0 ,,,,
14.0 ,43.0 ,0.0 ,,,,
19.5 ,42.6 ,0.0 ,,,,
25.0 ,41.2 ,0.0 ,,,,
29.8 ,38.8 ,0.0 ,,,,
33.0 ,35.2 ,0.0 ,,,,
34.4 ,31.2 ,0.0 ,,,,
33.6 ,27.8 ,0.0 ,,,,
31.0 ,25.0 ,0.0 ,,,,
26.8 ,23.6 ,0.0 ,,,,
